Client ID,Company Name,Legal Entity Name,Industry Sector,Company Size,Primary Contact First Name,Primary Contact Last Name,Primary Contact Title,Primary Contact Email,Primary Contact Phone,Secondary Contact First Name,Secondary Contact Last Name,Secondary Contact Title,Secondary Contact Email,Secondary Contact Phone,Company Address Line 1,Company Address Line 2,City,County,Postcode,Country,Company Website,LinkedIn Profile,Service Lines Used,Primary Service,Account Status,Account Tier,First Engagement Date,Last Placement Date,Total Placements,Active Jobs,Lifetime Revenue (£),Average Fee Percentage,Preferred Payment Terms,Credit Limit (£),Payment History,Account Manager,Recruitment Specialties,Work Models Offered,Typical Salary Range,Hiring Frequency,Company Culture Notes,Decision Maker Speed,Interview Process Type,Reference Required,Assessment Required,Rebate Period Days,Replacement Guarantee,Contract Type Preference,Temp Margin (%),Notes
CLI-020,Infinity Gaming Studios,Infinity Gaming Studios Ltd,Video Games Development,75-90,Jake,Morrison,Studio Manager,j.morrison@infinitygaming.co.uk,0117 555 2001,Lisa,Zhang,Lead Developer,l.zhang@infinitygaming.co.uk,0117 555 2002,Digital Hub,Paintworks Phase 3,Bristol,Bristol,BS4 3AT,United Kingdom,www.infinitygamingstudios.co.uk,linkedin.com/company/infinity-gaming,Recruitment,Recruitment,Active,Silver,2022-09-14,2024-10-30,11,2,58000,18,Net 30,30000,Good,Sam Henderson,Technical,"Remote, Hybrid",£28000-£65000,Quarterly,Creative gaming culture. Flexible remote-first,Fast (1-2 weeks),2-stage (Portfolio + Tech Test),Yes,No,90,Yes,"Permanent, Contract",N/A,Game dev specialists. Unity Unreal Engine expertise. Portfolio review essential for all technical hires
CLI-021,Sterling Insurance Brokers,Sterling Insurance Brokers Ltd,Insurance & Financial Services,310-340,Graham,Hughes,Chief People Officer,g.hughes@sterlingbrokers.co.uk,0117 555 2101,Fiona,McDonald,Commercial Director,f.mcdonald@sterlingbrokers.co.uk,0117 555 2102,Sterling House,Redcliffe Way,Bristol,Bristol,BS1 6NL,United Kingdom,www.sterlingbrokers.co.uk,linkedin.com/company/sterling-insurance,"Recruitment, Assessment, Training",Recruitment,Active,Gold,2018-09-25,2024-12-12,38,6,198000,19,Net 45,70000,Excellent,Sam Henderson,"Sales, Accountancy, Contact Centre","Office, Hybrid",£22000-£62000,Monthly,Professional regulated environment. FCA compliance critical,Medium (3-4 weeks),2-stage (Competency + Compliance),Yes,Yes,90,Yes,Permanent,N/A,FCA regulated roles. Compliance training essential. Stuart Pearce sales training for brokers annually
CLI-022,Velocity Couriers,Velocity Couriers Ltd,Courier & Delivery Services,140-160,Paul,Anderson,Operations Manager,p.anderson@velocitycouriers.co.uk,0117 555 2201,Rachel,Green,Fleet Manager,r.green@velocitycouriers.co.uk,0117 555 2202,Velocity Depot,Avonmouth Industrial Estate,Bristol,Bristol,BS11 9YA,United Kingdom,www.velocitycouriers.co.uk,linkedin.com/company/velocity-couriers,Recruitment,Recruitment,Active,Silver,2021-04-18,2024-12-20,26,6,98000,15,Net 30,35000,Good,Sam Henderson,Commercial,Office,£20000-£38000,Weekly,Fast-paced delivery culture. Driver recruitment focus,Very Fast (<1 week),1-stage (Interview + Licence Check),No,No,60,Yes,"Permanent, Temporary",39,High turnover driver roles. Licence checks essential. Gig economy competition for drivers
CLI-023,Bloom Garden Centres,Bloom Garden Centres Ltd,Retail / Garden Centres,280-300,Susan,Parker,HR Manager,s.parker@bloomgardens.co.uk,0117 555 2301,David,Wright,Store Manager,d.wright@bloomgardens.co.uk,0117 555 2302,Bloom Head Office,Bath Road,Bristol,Bristol,BS4 3EQ,United Kingdom,www.bloomgardens.co.uk,linkedin.com/company/bloom-gardens,Recruitment,Recruitment,Active,Silver,2020-11-07,2024-09-18,21,3,82000,15.5,Net 30,30000,Good,Sam Henderson,"Sales, Commercial",Office,£19000-£32000,Quarterly,Family business culture. Seasonal workforce,Medium (2-3 weeks),1-stage (Manager interview),No,No,90,Yes,"Permanent, Temporary",37,Seasonal hiring peaks spring/summer. Horticultural knowledge desirable but not essential
CLI-024,Bristol Broadcasting Corp,Bristol Broadcasting Corp Ltd,Media & Broadcasting,110-130,Richard,Stone,Head of Production,r.stone@bristolbc.co.uk,0117 555 2401,Yasmin,Ali,Talent Manager,y.ali@bristolbc.co.uk,0117 555 2402,Broadcasting House,Whiteladies Road,Bristol,Bristol,BS8 2LR,United Kingdom,www.bristolbc.co.uk,linkedin.com/company/bristol-bc,"Recruitment, Assessment",Recruitment,Active,Gold,2019-01-30,2024-11-08,27,3,145000,18.5,Net 30,55000,Excellent,Sam Henderson,"Technical, Commercial, Sales","Office, Hybrid",£24000-£58000,Quarterly,Creative media culture. Deadline-driven environment,Fast (2-3 weeks),2-stage (Interview + Screen Test),Yes,Yes,90,Yes,"Permanent, Contract",N/A,Media production roles. Showreel/portfolio reviews. Freelance contract opportunities
CLI-025,SecureBank Systems,SecureBank Systems PLC,Financial Technology,450-500,Jonathan,Davis,CHRO,j.davis@securebanksys.co.uk,0117 555 2501,Priya,Kumar,Technology Director,p.kumar@securebanksys.co.uk,0117 555 2502,FinTech Tower,Temple Meads,Bristol,Bristol,BS1 6QS,United Kingdom,www.securebanksystems.co.uk,linkedin.com/company/securebank-sys,"Recruitment, Assessment, Training",Recruitment,Active,Platinum,2017-11-22,2024-12-15,64,9,385000,20.5,Net 45,110000,Excellent,Sam Henderson,"Technical, Sales, Accountancy","Hybrid, Remote",£32000-£95000,Monthly,FinTech innovation culture. Fast growth environment,Fast (1-2 weeks),3-stage (Technical + Culture + Executive),Yes,Yes,90,Yes,"Permanent, Contract",N/A,Major FinTech client. Complex technical roles. Security clearance often required. Stuart Pearce leadership training
CLI-026,Artisan Bakery Co,Artisan Bakery Company Ltd,Food Production / Bakery,65-80,Tom,Baker,Owner & MD,t.baker@artisanbakery.co.uk,0117 555 2601,Emma,Johnson,Production Manager,e.johnson@artisanbakery.co.uk,0117 555 2602,Bakery Central,Southville Trading Estate,Bristol,Bristol,BS3 2TG,United Kingdom,www.artisanbakery.co.uk,linkedin.com/company/artisan-bakery,Recruitment,Recruitment,Active,Bronze,2023-06-08,2024-11-02,8,2,32000,14,Net 30,15000,Fair,Sam Henderson,Commercial,Office,£18000-£28000,Quarterly,Small family business. Traditional bakery values,Medium (3-4 weeks),1-stage (Owner interview),No,No,90,Yes,Permanent,N/A,Small artisan business. Early morning shifts (bakers start 3am). Food hygiene essential
CLI-027,TechSupport Solutions,TechSupport Solutions Ltd,IT Support Services,190-210,Alan,Mitchell,Service Delivery Manager,a.mitchell@techsupport.co.uk,0117 555 2701,Natalie,Brown,HR Lead,n.brown@techsupport.co.uk,0117 555 2702,Tech Centre,Aztec West,Bristol,Bristol,BS32 4TD,United Kingdom,www.techsupportsolutions.co.uk,linkedin.com/company/techsupport-sol,"Recruitment, Training",Recruitment,Active,Gold,2018-07-14,2024-12-03,33,5,172000,18,Net 30,60000,Excellent,Sam Henderson,"Technical, Contact Centre","Office, Hybrid, Remote",£22000-£52000,Monthly,Technical support culture. Customer service focus,Fast (1-2 weeks),2-stage (Technical + Culture),Yes,No,90,Yes,"Permanent, Contract",N/A,IT helpdesk and support engineers. ITIL certifications desirable. Stuart Pearce customer service training
CLI-028,WellnessFirst Gym Group,WellnessFirst Gym Group Ltd,Health & Fitness,240-260,Mark,Taylor,Group Operations Director,m.taylor@wellnessfirstgyms.co.uk,0117 555 2801,Kelly,White,People & Culture Manager,k.white@wellnessfirstgyms.co.uk,0117 555 2802,Fitness Hub,Cabot Circus,Bristol,Bristol,BS1 3BX,United Kingdom,www.wellnessfirstgyms.co.uk,linkedin.com/company/wellnessfirst,"Recruitment, Wellbeing",Recruitment,Active,Silver,2021-08-10,2024-10-22,18,4,85000,16,Net 30,35000,Good,Sam Henderson,"Sales, Commercial",Office,£19000-£38000,Monthly,Health and wellness culture. High-energy environment,Fast (1-2 weeks),1-stage (Practical + Interview),No,No,60,Yes,Permanent,N/A,Personal trainers and sales consultants. Fitness qualifications required. Emma Jane wellbeing support available
CLI-029,Heritage Construction,Heritage Construction Ltd,Construction & Building,320-350,Steve,Robinson,Project Director,s.robinson@heritageconstruction.co.uk,0117 555 2901,Linda,Phillips,HR Manager,l.phillips@heritageconstruction.co.uk,0117 555 2902,Construction House,Feeder Road,Bristol,Bristol,BS2 0TB,United Kingdom,www.heritageconstruction.co.uk,linkedin.com/company/heritage-construction,"Recruitment, Assessment",Recruitment,Active,Gold,2017-03-19,2024-11-30,44,7,238000,18.5,Net 45,75000,Excellent,Sam Henderson,"Technical, Commercial",Office,£25000-£65000,Quarterly,Traditional construction culture. Safety paramount,Medium (3-4 weeks),2-stage (Technical + Site Visit),Yes,Yes,120,Yes,"Permanent, Contract",N/A,CSCS cards essential. Construction qualifications required. Assessment for site managers
CLI-030,CloudNine Hosting,CloudNine Hosting Services Ltd,Cloud Infrastructure,85-100,Damien,Foster,CEO,d.foster@cloudninehosting.co.uk,0117 555 3001,Sophie,Lee,CTO,s.lee@cloudninehosting.co.uk,0117 555 3002,Cloud Centre,Technology Quarter,Bristol,Bristol,BS1 6FA,United Kingdom,www.cloudninehosting.co.uk,linkedin.com/company/cloudnine-hosting,"Recruitment, Training",Recruitment,Active,Silver,2022-02-24,2024-12-09,14,3,76000,19,Net 30,35000,Good,Sam Henderson,Technical,"Remote, Hybrid",£32000-£78000,Quarterly,Cloud-first remote culture. DevOps focused,Fast (1-2 weeks),2-stage (Technical + Culture),Yes,Yes,90,Yes,"Permanent, Contract",N/A,AWS Azure GCP expertise required. DevOps engineers and cloud architects. Remote-first company
CLI-031,BrisVet Animal Hospital,BrisVet Animal Hospital Ltd,Veterinary Services,35-45,Dr. Sarah,Collins,Practice Owner,s.collins@brisvet.co.uk,0117 555 3101,James,Martin,Practice Manager,j.martin@brisvet.co.uk,0117 555 3102,BrisVet Centre,Gloucester Road,Bristol,Bristol,BS7 8AS,United Kingdom,www.brisvet.co.uk,linkedin.com/company/brisvet,Recruitment,Recruitment,Active,Bronze,2023-09-12,2024-08-05,5,1,22000,15,Net 30,12000,Good,Sam Henderson,Commercial,Office,£20000-£42000,Annually,Caring animal-focused culture. Clinical excellence,Slow (4-6 weeks),2-stage (Clinical + Cultural),Yes,No,90,Yes,Permanent,N/A,Veterinary nurses and support staff. RCVS registration required for clinical roles
CLI-032,Fusion Telecommunications,Fusion Telecommunications PLC,Telecommunications,950-1000,Anthony,Ward,Talent Director,a.ward@fusiontelco.co.uk,0117 555 3201,Rachel,Kumar,Network Operations Director,r.kumar@fusiontelco.co.uk,0117 555 3202,Fusion Tower,Templemeads Business Park,Bristol,Bristol,BS1 6DH,United Kingdom,www.fusiontelco.co.uk,linkedin.com/company/fusion-telco,"Recruitment, Contact Centre Consultancy, Training",Recruitment,Active,Platinum,2016-08-15,2024-12-22,89,11,475000,21,Net 45,130000,Excellent,Contact Centre Specialist,"Technical, Contact Centre, Sales","Office, Hybrid, Remote",£20000-£72000,Weekly,Telecommunications culture. Fast-paced regulated environment,Fast (1-2 weeks),2-stage (Technical + Compliance),Yes,No,60,Yes,"Permanent, Temporary, Contract",40,Second largest client. Contact centre setup 2016. Network engineers and call centre staff. Ofcom compliance
CLI-033,EduTech Learning,EduTech Learning Solutions Ltd,Educational Technology,60-75,Nina,Patel,Co-Founder,n.patel@edutechlearning.co.uk,0117 555 3301,Alex,Thompson,Product Director,a.thompson@edutechlearning.co.uk,0117 555 3302,Innovation Space,Digital Quarter,Bristol,Bristol,BS2 0RL,United Kingdom,www.edutechlearning.co.uk,linkedin.com/company/edutech-learning,Recruitment,Recruitment,Active,Silver,2022-11-17,2024-09-28,10,2,54000,18,Net 30,25000,Good,Sam Henderson,"Technical, Sales","Remote, Hybrid",£26000-£58000,Quarterly,EdTech startup culture. Mission-driven education focus,Medium (2-3 weeks),2-stage (Values + Skills),Yes,No,90,Yes,Permanent,N/A,Educational software developers and sales. Understanding of education sector beneficial
